server_name,tools,with_description,with_schema,mean_desc_words
io.github.MPP32/mpp32-mcp-server,12,12,0,45.6
io.github.Xvvln/pdf-reader-mcp,12,12,0,33.9
site.123skills/mcp,12,12,0,17.1
io.github.Hyperion-GPU/proofflow,12,2,2,1.5
ai.sovantica/engrava,12,5,0,17.6
io.github.mguay22/fundlens,12,12,0,18.8
io.github.millerchou/rocketchat-mcp,12,12,0,23.9
io.github.Spacetime-Technology/safehold,11,11,0,18.5
io.github.icyn12-tinker/icyn-date,11,11,0,15.8
io.github.malkreide/swiss-cultural-heritage-mcp,11,11,0,68.5
io.github.FadingLight9291117/harmonyos,11,11,0,7.2
io.github.professor2k8/agent-security-lens,11,11,0,17.9
io.github.david-eve-za/nvidia-nim-mcp,11,11,0,23.3
io.github.marerem/longmem,11,11,0,47.0
io.github.olostep/olostep-mcp-server,11,11,0,20.6
io.github.Hei33enberg/marocain-mcp-server,11,11,0,23.8
io.github.logi-cmd/agent-guardrails,11,11,0,24.5
io.github.shadoprizm/cyberlens-mcp-server,11,11,0,67.4
io.github.0xthaner/reputa,11,11,0,12.8
io.github.vanoe-ai/vanoe-intelligence-mcp,10,2,0,3.6
io.github.peterkolbe/ableton-for-ai,10,10,0,37.0
io.github.mdfifty50-boop/agent-costcenter,10,10,0,14.9
io.github.vola-trebla/playwright-trace-decoder-mcp,10,10,10,12.6
io.github.qmediat/gemini-code-context-mcp,10,10,0,28.4
io.github.bawbel/bawbel-mcp,10,10,0,67.3
io.github.HalidSaglam/saglitzdesign-mcp,10,10,0,39.9
io.github.sbrunner-atx/contest-mcp,10,10,0,74.4
io.github.thestockgoatballs/clipspeed-mcp,10,10,0,24.5
io.github.singularitystudiosdev/agentsocial-mcp,10,10,0,14.6
io.github.benjammartin/munition,9,9,0,12.7
io.github.opcastil11/mcp-prowl,9,9,0,15.3
cn.3ceng/kuailian,9,9,0,6.1
io.github.kynto2001-ctrl/xrplriskscore-mcp,9,9,0,30.9
io.github.CREIntel/ndi-mcp-server,9,0,0,0.0
io.github.purahmanian/flstudio-mcp-mac,9,9,0,8.7
io.github.dubaikseniia-wq/entra-mcp,9,9,8,45.3
io.github.mharnett/ga4,9,9,0,10.2
io.github.eduardoabreu81/livewiki,9,9,0,22.8
io.github.Alkilo-do/orita-provider-resolution,9,9,0,60.2
io.github.Goingparabolic/painprep-mcp-server,9,9,0,13.2
io.github.alvinjchoi/gtasks-mcp,9,9,0,12.0
org.linkedparticles/particles,9,6,6,5.7
io.github.iamalanlui/apipay,9,9,0,17.7
io.github.Wolfe-Jam/mcp-context-card,9,9,0,20.9
io.github.LordMendes/lgpd-mcp,9,9,9,11.7
io.github.variflight/variflight-mcp,9,9,0,49.2
